id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33
2_14,0.857143,0.640351,4.834543,6.837076,0.57973,59.580163,0.640351,0.933333,13.066667,2.5560389999999997,0.122807,0.131579,0.087719,0.070175,0.157895,0.0,3.666666667,1.210526,12.666667,6.705882000000001,1.888889,0.0,0.0,0.0,0.0,0.352941,0.666667,0.666667,0.0,4.6666669999999995,5.0,0.0,5.25
2_15,0.8260870000000001,0.6875,4.76314,6.736097,0.616903,67.585714,0.684211,0.818182,14.727273,2.713602,0.189474,0.13684200000000002,0.063158,0.063158,0.126316,0.0,3.760416667,1.242105,9.5,7.307691999999999,1.3,0.153846,0.2,0.0,0.0,1.461538,0.6,1.9,0.0,3.833333,3.5263160000000005,0.0,10.0
2_16,0.830508,0.673469,4.714286,6.667007000000001,0.610576,64.060389,0.673469,1.0,14.0,2.6457509999999997,0.14285699999999998,0.193878,0.030612,0.081633,0.11224500000000001,0.016949000000000002,3.897959184,1.373737,11.0,7.071428999999999,1.555556,0.07142899999999999,0.11111099999999999,0.0,0.0,1.0,1.111111,1.555556,0.44444399999999995,4.2,3.571429,3.75,6.4
2_17,0.830508,0.653061,4.571429,6.464976,0.606092,58.56416899999999,0.653061,0.727273,5.818182,1.7056060000000002,0.081633,0.16326500000000002,0.122449,0.051019999999999996,0.173469,0.0,3.7755102039999997,1.26,11.111111,5.882353,1.888889,0.0,0.0,0.0,0.0,0.17647100000000002,0.555556,0.333333,0.0,4.6,3.666667,0.0,4.0
2_18,0.7611939999999999,0.637255,4.55091,6.4359589999999995,0.596303,55.793409999999994,0.637255,1.0,17.0,2.915476,0.166667,0.117647,0.029412,0.078431,0.10784300000000001,0.0,3.411764706,1.184466,7.285714,5.1,1.4285709999999998,0.05,0.07142899999999999,0.05,0.07142899999999999,2.3,1.5,3.285714,0.5,2.904762,4.152174,3.0,5.898305000000001
2_19,0.666667,0.566038,4.120817,5.827715,0.573728,42.497096,0.566038,0.666667,10.666667,2.309401,0.150943,0.103774,0.018868,0.09434,0.11320799999999999,0.0,4.037735849,1.290909,5.578947,3.785714,1.473684,0.0,0.0,0.0,0.0,3.178571,3.4736839999999995,4.684211,1.1052629999999999,3.924242,4.764044999999999,4.52381,5.675676
2_2,0.655172,0.663158,4.5705,6.463664,0.613256,60.292533,0.663158,0.730769,13.884615,2.634826,0.2,0.13684200000000002,0.021053,0.13684200000000002,0.157895,0.0,3.757894737,1.257426,4.318182,3.5185190000000004,1.227273,0.037037,0.045455,0.0,0.0,0.62963,0.636364,0.772727,0.0,3.571429,6.176471,0.0,4.923076999999999
2_20,0.809524,0.7450979999999999,5.321064,7.525121,0.618637,91.95945999999999,0.7450979999999999,0.866667,11.266667,2.373464,0.127451,0.166667,0.08823500000000001,0.098039,0.186275,0.0,4.2647058819999994,1.413462,7.357142999999999,6.4375,1.142857,0.0,0.0,0.0,0.0,0.25,0.28571399999999997,0.28571399999999997,0.0,5.75,4.5,0.0,4.0
2_21,0.893443,0.733945,5.418284,7.662610000000001,0.605531,89.560168,0.733945,0.782609,14.086957,2.653955,0.165138,0.15596300000000002,0.036697,0.09174299999999999,0.12844,0.008197,3.9633027519999997,1.247706,12.111111,8.384615,1.444444,0.0,0.0,0.11538499999999999,0.166667,9.307692,3.111111,13.444444,1.555556,3.928571,3.9338839999999995,4.0,8.25
2_22,0.875,0.693878,4.857143,6.869037,0.614927,70.28445699999999,0.693878,1.0,12.0,2.44949,0.122449,0.193878,0.030612,0.10204099999999999,0.132653,0.008929000000000001,4.193877551,1.377551,14.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0,3.857143,4.0,4.285714,3.666667,3.892857,3.5,10.181818
2_23,0.878049,0.657407,4.830938,6.831977999999999,0.5917600000000001,62.496793999999994,0.657407,1.0,13.0,2.5495099999999997,0.12037,0.138889,0.074074,0.027777999999999997,0.101852,0.0,3.861111111,1.277778,9.818182,7.2,1.363636,0.0,0.0,0.0,0.0,0.466667,1.0,0.636364,0.272727,4.0,4.428571,4.0,5.777778
2_24,0.731884,0.660194,4.7377839999999996,6.700239,0.599816,61.861183999999994,0.663366,0.8421049999999999,13.473684,2.595543,0.158416,0.148515,0.029702999999999997,0.059405999999999994,0.08910900000000001,0.007245999999999999,3.9514563110000003,1.333333,9.181818,5.611111,1.636364,0.0,0.0,0.0,0.0,0.833333,0.727273,1.363636,0.0,4.625,4.866667,0.0,6.181818
2_25,0.8034680000000001,0.546763,4.558177,6.446236,0.529942,44.817496000000006,0.546763,0.64,10.24,2.262742,0.11510799999999999,0.10791400000000001,0.057553999999999994,0.093525,0.151079,0.0,4.273381295,1.385714,7.722222,4.964286,1.555556,0.0,0.0,0.07142899999999999,0.11111099999999999,2.214286,1.611111,3.4444440000000003,0.5,3.62069,4.806451999999999,3.666667,5.449275
2_26,0.771277,0.62069,5.284982,7.474092999999999,0.539119,61.251128,0.62069,0.8636360000000001,16.409091,2.864358,0.13103399999999998,0.12413800000000001,0.055172000000000006,0.11724100000000001,0.172414,0.005319,4.089655172,1.358108,6.590909,5.370369999999999,1.227273,0.037037,0.045455,0.0,0.0,1.296296,1.681818,1.590909,0.727273,3.459459,4.285714,3.5625,6.28
2_27,0.8963409999999999,0.571429,4.898979,6.928203,0.527229,50.611913,0.571429,0.8695649999999999,17.391304,2.948839,0.136054,0.129252,0.061224,0.054422000000000005,0.115646,0.006097999999999999,4.06122449,1.2380950000000002,12.25,8.647059,1.416667,0.0,0.0,0.0,0.0,0.8235290000000001,1.25,1.166667,1.0,4.0,3.642857,3.416667,6.266667
2_28,0.893491,0.629139,5.466636,7.730989999999999,0.534647,64.562184,0.629139,0.8888889999999999,14.222222,2.666667,0.10595999999999998,0.152318,0.046357999999999996,0.05297999999999999,0.099338,0.0,3.781456954,1.218543,15.1,9.4375,1.6,0.25,0.4,0.09375,0.15,8.0,8.4,12.8,3.0,4.0833330000000005,4.0625,4.266667,8.315789
2_29,0.862275,0.666667,5.656854,8.0,0.548747,74.12746,0.666667,0.9285709999999999,12.071429,2.456769,0.090278,0.243056,0.083333,0.0625,0.145833,0.0,4.541666667,1.475862,16.0,8.470588000000001,1.888889,0.17647100000000002,0.333333,0.08823500000000001,0.166667,7.764705999999999,10.555556,14.666667000000002,6.6666669999999995,4.631579,4.303030000000001,3.9666669999999997,9.428571
2_3,0.859649,0.632653,4.428571,6.262946,0.6014649999999999,53.674065,0.632653,1.0,16.0,2.828427,0.16326500000000002,0.173469,0.091837,0.061224,0.153061,0.0,3.8061224489999996,1.333333,9.0,6.6,1.363636,0.0,0.0,0.0,0.0,0.266667,0.272727,0.363636,0.0,6.3333330000000005,5.25,0.0,4.0
2_30,0.901235,0.575342,4.915728,6.9518889999999995,0.529032,51.236736,0.575342,0.9047620000000001,17.190476,2.931764,0.130137,0.109589,0.041096,0.061644000000000004,0.10274000000000001,0.0,3.849315068,1.191781,14.6,10.428571,1.4,0.28571399999999997,0.4,0.07142899999999999,0.1,6.642857000000001,5.8,9.3,2.5,3.603448,4.129032,3.92,8.125
2_31,0.90625,0.5958899999999999,5.09129,7.200171000000001,0.533222,55.579754,0.5931029999999999,0.8,12.8,2.5298220000000002,0.110345,0.21379299999999998,0.062069000000000006,0.013793000000000001,0.075862,0.00625,4.150684932,1.312925,14.6,12.166667,1.2,0.166667,0.2,0.125,0.15,7.0,7.3,8.4,3.3,4.136986,4.0833330000000005,3.5454550000000005,7.9166669999999995
2_32,0.89441,0.611111,5.18545,7.3333330000000005,0.5382859999999999,58.725728000000004,0.611111,1.0,15.0,2.738613,0.10416700000000001,0.131944,0.090278,0.097222,0.1875,0.037267,4.256944444,1.386207,16.222222,11.230769,1.444444,0.307692,0.44444399999999995,0.0,0.0,4.2307690000000004,4.3333330000000005,6.111111,0.777778,4.461538,4.527273,4.428571,7.28
2_33,0.9027780000000001,0.6,4.8373550000000005,6.841053,0.551266,53.606683,0.6,1.0,18.0,3.0,0.138462,0.16153800000000001,0.046154,0.038462,0.084615,0.006944,4.038461538,1.230769,13.0,9.285714,1.4,0.14285699999999998,0.2,0.0,0.0,5.857143,4.3,8.2,2.1,3.9069769999999995,3.8536589999999995,3.428571,7.9
